feature,importance
num__temperature,0.059627971350487655
num__potassium,0.053690068305951265
num__hemoglobin,0.05155066559592639
num__bp_systolic,0.04431980863461837
num__respirations,0.041832350905049165
num__glucose,0.036745888658620454
num__care_plan_costs,0.03625249428520679
num__creatinine,0.033624408888955695
num__calcium,0.03070515152226703
num__LACE_Score,0.030694966845491528
num__chronic_conditions,0.030655861079075093
num__pulse,0.030332990434906948
num__ed_visits,0.02896105787666369
num__bp_diastolic,0.02849265772185596
num__los,0.027485364431451602
num__cost_of_initial_stay,0.027096754718291628
num__bmi,0.026642287815593628
cat__care_plan_following_discharge_No documented plan,0.02570302417619671
num__sodium,0.025647353091933812
num__wbc,0.024064679184913163
num__ip_visits,0.02374340323943209
cat__care_plan_following_discharge_Standard follow-up in 7 days,0.02061235696481604
cat__ethnic_group_c_unknown,0.018832146330582777
cat__Condition_unspecified,0.01850043218183805
cat__insurance_provider_unknown,0.016046741125388335
num__tobacco_user,0.015101832791257916
num__patientunitstayid,0.011548440436082486
num__diabetes,0.010465791911713514
num__depression,0.010420968443572175
num__hospitalid,0.00873992416789119
num__age,0.008553507977730307
num__wardid,0.008529300827797797
cat__ethnic_group_c_White,0.006091073587639589
cat__unittype_Med-Surg ICU,0.0058795051215890775
cat__insurance_provider_Commercial,0.005070414722736574
cat__ethnicity_Caucasian,0.0049439890021916325
cat__ethnic_group_c_Other,0.00452483411693461
cat__insurance_provider_Medicaid,0.004019519074037798
cat__insurance_provider_Private,0.0039991235844282005
num__dementia,0.0038886991351734426
num__obesity,0.0035132833282738173
cat__insurance_provider_Medicare,0.003479027142409939
num__anxiety,0.003000437895100542
cat__Condition_General Medical,0.00294223417423741
cat__gender_Female,0.002649423561156857
cat__gender_Unknown,0.002561909927190202
cat__Condition_Respiratory Disease,0.0023631208661956432
cat__ethnic_group_c_Hispanic,0.0023152042743882196
cat__ethnic_group_c_African American,0.00200839427511192
cat__Condition_Cardiovascular Disease,0.001999935056627768
cat__care_plan_following_discharge_Medication reconciliation and PCP follow-up,0.001851727780988878
cat__gender_Male,0.0018135084528994566
cat__ethnic_group_c_Asian,0.0017422492528072625
num__mooddisorder,0.0016696156699057736
cat__unittype_Cardiac ICU,0.0016384018292394025
cat__insurance_provider_Medicare Advantage,0.0016340017930923268
cat__Condition_Multi-morbid/Elderly,0.001588113560880121
cat__ethnic_group_c_Black or African American,0.0014961108192525542
num__drugabuse,0.0012002444935327007
cat__unittype_SICU,0.0011925653286245983
cat__ethnicity_Native American,0.0011492384861615226
cat__Condition_Neurological Disorder,0.0010707665375719532
cat__ethnicity_African American,0.001059979095666151
cat__ethnicity_Other/Unknown,0.0010241554355676042
cat__care_plan_following_discharge_Home health + chronic disease management,0.0010002906236838505
cat__Condition_Sepsis/Infection,0.0009813603612111668
cat__Condition_Renal Disease,0.0009776912142132586
cat__unittype_CCU-CTICU,0.000964377749288835
cat__unittype_Neuro ICU,0.000959819299903357
cat__unittype_CTICU,0.00095832800955502
cat__unittype_MICU,0.0009430825099900916
cat__insurance_provider_Self-pay,0.0009276811854026422
cat__Condition_Substance Abuse/Overdose,0.0009185227352055067
cat__unittype_CSICU,0.0009023160146355431
cat__care_plan_following_discharge_Home Health,0.0008068627679682605
cat__ethnicity_Asian,0.0008066165747372509
cat__ethnicity_Hispanic,0.0008052314674189185
cat__care_plan_following_discharge_Cardiac Rehab,0.0007992062175491166
cat__care_plan_following_discharge_Follow-up Cardiology; Cardiac Rehab; Medication Management,0.0006935348448447523
cat__Condition_Diabetes/Endocrine,0.0006567638245691951
cat__insurance_provider_Other,0.0006467376635140773
cat__Condition_Trauma/Surgical,0.0006419777859881772
cat__care_plan_following_discharge_PCP Follow-up,0.0006256807120120106
cat__insurance_provider_Self-Pay,0.0006001950246859227
cat__care_plan_following_discharge_Medication Management,0.000586885756613428
cat__care_plan_following_discharge_Medication Review,0.0005604948735218257
cat__Condition_Myasthenia gravis,0.0005228445754174617
cat__care_plan_following_discharge_Follow-up Cardiology,0.0005101412935537132
cat__care_plan_following_discharge_Lifestyle Counseling,0.0005055033316306184
cat__ethnic_group_c_American Indian or Alaska Native,0.000485768053450618
cat__ethnicity_unknown,0.0004646437975401258
cat__care_plan_following_discharge_Medication Review; Lifestyle Counseling; PCP Follow-up,0.00043840318412564813
cat__care_plan_following_discharge_Speech Therapy; Occupational Therapy,0.00041337376656887427
cat__Condition_Cancer/Neoplasm,0.00040062211322766265
cat__care_plan_following_discharge_Home Health; Follow-up Cardiology,0.0003584882197368584
cat__Condition_Gastrointestinal/Surgical,0.00035707710851819635
cat__care_plan_following_discharge_Lifestyle Counseling; PCP Follow-up,0.00035216016688993423
cat__care_plan_following_discharge_Medication Review; Lifestyle Counseling,0.0003483254799880345
"cat__Condition_Overdose, other toxin, poison or drug",0.0003444150338706725
cat__care_plan_following_discharge_Follow-up Cardiology; Home Health; Medication Management,0.0003394221570420191
cat__care_plan_following_discharge_Medication Management; Cardiac Rehab; Home Health,0.00033612264002953675
cat__care_plan_following_discharge_Home O2 Therapy,0.000331483155972719
"cat__Condition_Graft, femoral-popliteal bypass",0.0003301546105579779
cat__uniquepid_004-12925,0.0003157636879812628
